,name,price,stars,reviews,url
0,"REDMI Note 10T 5G (Graphite Black, 128 GB)","₹13,999",4.3,"13,087 Ratings & 927 Reviews",https://www.flipkart.com/redmi-note-10t-5g-graphite-black-128-gb/p/itm2473a60f98194?pid=MOBGC7QFR6XRTYRF&lid=LSTMOBGC7QFR6XRTYRFBDXMSP&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGC7QFR6XRTYRF.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
1,"MOTOROLA G60 (Moonless, 128 GB)","₹14,999",4.2,"1,05,024 Ratings & 10,603 Reviews",https://www.flipkart.com/motorola-g60-moonless-128-gb/p/itma894654fddb46?pid=MOBG9CJ6KRYW4NJT&lid=LSTMOBG9CJ6KRYW4NJTP2I8X0&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBG9CJ6KRYW4NJT.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
2,"REDMI Note 10S (Deep Sea Blue, 64 GB)","₹12,999",4.4,"53,334 Ratings & 3,576 Reviews",https://www.flipkart.com/redmi-note-10s-deep-sea-blue-64-gb/p/itmdd3b943d713b8?pid=MOBGAHD8GWKMFWFG&lid=LSTMOBGAHD8GWKMFWFGQXE9RS&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_3&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGAHD8GWKMFWFG.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
3,"vivo T1 44W (Starry Sky, 128 GB)","₹15,999",4.4,"10,678 Ratings & 966 Reviews",https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm6fabe8894256b?pid=MOBGDRHVMW2UDXZY&lid=LSTMOBGDRHVMW2UDXZYRBYUFR&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGDRHVMW2UDXZY.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
4,"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹15,990",4.3,"31,150 Ratings & 2,868 Reviews",https://www.flipkart.com/vivo-t1-5g-rainbow-fantasy-128-gb/p/itm594222523bd8f?pid=MOBGB9TYGW5NGXVH&lid=LSTMOBGB9TYGW5NGXVHAMNS12&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGB9TYGW5NGXVH.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
5,"REDMI Note 10T 5G (Chromium White, 128 GB)","₹13,999",4.3,"13,087 Ratings & 927 Reviews",https://www.flipkart.com/redmi-note-10t-5g-chromium-white-128-gb/p/itm8e7b8f8eea674?pid=MOBGC7QFTKPRRVJC&lid=LSTMOBGC7QFTKPRRVJCWRJUTZ&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGC7QFTKPRRVJC.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
6,"OPPO F19 (Prism Black, 128 GB)","₹15,490",4.3,"8,022 Ratings & 617 Reviews",https://www.flipkart.com/oppo-f19-prism-black-128-gb/p/itm82f60569dc6db?pid=MOBGFGWNUZXAM7QY&lid=LSTMOBGFGWNUZXAM7QYB6Z1TY&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGFGWNUZXAM7QY.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
7,"vivo T1 5G (Starlight Black, 128 GB)","₹16,990",4.3,"71,518 Ratings & 6,772 Reviews",https://www.flipkart.com/vivo-t1-5g-starlight-black-128-gb/p/itm594222523bd8f?pid=MOBGB9TYF7P7RNYX&lid=LSTMOBGB9TYF7P7RNYX6DFNDB&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGB9TYF7P7RNYX.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
8,"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹16,990",4.3,"71,518 Ratings & 6,772 Reviews",https://www.flipkart.com/vivo-t1-5g-rainbow-fantasy-128-gb/p/itm594222523bd8f?pid=MOBGB9TYFQR3FQZT&lid=LSTMOBGB9TYFQR3FQZTWOTIUO&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGB9TYFQR3FQZT.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
9,"OPPO K10 5G (Midnight Black, 128 GB)","₹17,499",4.5,"5,318 Ratings & 422 Reviews",https://www.flipkart.com/oppo-k10-5g-midnight-black-128-gb/p/itm28cf887931942?pid=MOBGETEKHMT7HMR7&lid=LSTMOBGETEKHMT7HMR7WHUWBT&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGETEKHMT7HMR7.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
10,"OPPO K10 5G (Ocean Blue, 128 GB)","₹17,499",4.5,"5,318 Ratings & 422 Reviews",https://www.flipkart.com/oppo-k10-5g-ocean-blue-128-gb/p/itm28cf887931942?pid=MOBGEWUYZ2Z9FSQG&lid=LSTMOBGEWUYZ2Z9FSQGC2YHFU&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_11&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGEWUYZ2Z9FSQG.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
11,"vivo T1 5G (Starlight Black, 128 GB)","₹15,990",4.3,"31,150 Ratings & 2,868 Reviews",https://www.flipkart.com/vivo-t1-5g-starlight-black-128-gb/p/itm594222523bd8f?pid=MOBGB9TYNDFYKNQ6&lid=LSTMOBGB9TYNDFYKNQ6FPMNDZ&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_12&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGB9TYNDFYKNQ6.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
12,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹15,999",4.4,"10,678 Ratings & 966 Reviews",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm6fabe8894256b?pid=MOBGDRHVXFVCGS23&lid=LSTMOBGDRHVXFVCGS23RDLBPG&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_13&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGDRHVXFVCGS23.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
13,"REDMI Note 10 Pro (Dark Night, 128 GB)","₹15,999",4.3,"22,529 Ratings & 2,100 Reviews",https://www.flipkart.com/redmi-note-10-pro-dark-night-128-gb/p/itm0479a8f8adde1?pid=MOBGB725PZQVNSUH&lid=LSTMOBGB725PZQVNSUHWY66UG&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_14&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGB725PZQVNSUH.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
14,"vivo Y53s (Deep Sea Blue, 128 GB)","₹15,490",4.3,"9,755 Ratings & 837 Reviews",https://www.flipkart.com/vivo-y53s-deep-sea-blue-128-gb/p/itmfec33b9946fad?pid=MOBG5GRG8YQZ6Q8G&lid=LSTMOBG5GRG8YQZ6Q8GKLD71N&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_15&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBG5GRG8YQZ6Q8G.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
15,"REDMI Note 10S (Cosmic Purple, 64 GB)","₹12,999",4.4,"53,334 Ratings & 3,576 Reviews",https://www.flipkart.com/redmi-note-10s-cosmic-purple-64-gb/p/itm2a1b4b90344a3?pid=MOBG62SFDH9CEJWG&lid=LSTMOBG62SFDH9CEJWGQ0FZG8&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_16&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBG62SFDH9CEJWG.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
16,"REDMI Note 10 Pro (Dark Nebula, 128 GB)","₹15,999",4.3,"22,529 Ratings & 2,100 Reviews",https://www.flipkart.com/redmi-note-10-pro-dark-nebula-128-gb/p/itm4cfcbeb29b31c?pid=MOBGB725FTZ3HMNF&lid=LSTMOBGB725FTZ3HMNF9INGUW&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_17&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGB725FTZ3HMNF.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
17,"OPPO K10 (Black Carbon, 128 GB)","₹16,990",4.4,"3,208 Ratings & 279 Reviews",https://www.flipkart.com/oppo-k10-black-carbon-128-gb/p/itm6205e7e72fe0c?pid=MOBGCFUHRXHPKEFH&lid=LSTMOBGCFUHRXHPKEFHTTMTG5&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_18&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGCFUHRXHPKEFH.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
18,"Moto G71 5G (Neptune Green, 128 GB)","₹15,999",4.2,"6,361 Ratings & 907 Reviews",https://www.flipkart.com/moto-g71-5g-neptune-green-128-gb/p/itmf4001ad9b6a40?pid=MOBG6FWD9GYP3VWJ&lid=LSTMOBG6FWD9GYP3VWJKTFM7O&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_19&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBG6FWD9GYP3VWJ.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
19,"REDMI Note 10 Pro (Glacial Blue, 128 GB)","₹15,999",4.3,"22,529 Ratings & 2,100 Reviews",https://www.flipkart.com/redmi-note-10-pro-glacial-blue-128-gb/p/itm61d736ed85d0d?pid=MOBGB725ZPZTNKJQ&lid=LSTMOBGB725ZPZTNKJQFPGWKA&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_20&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGB725ZPZTNKJQ.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
20,"vivo Y53s (Fantastic Rainbow, 128 GB)","₹15,490",4.3,"9,755 Ratings & 837 Reviews",https://www.flipkart.com/vivo-y53s-fantastic-rainbow-128-gb/p/itmfec33b9946fad?pid=MOBG5GRGKMG9DKSG&lid=LSTMOBG5GRGKMG9DKSG84VOGL&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_21&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBG5GRGKMG9DKSG.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
21,"REDMI Note 10S (Frost White, 64 GB)","₹12,999",4.4,"53,334 Ratings & 3,576 Reviews",https://www.flipkart.com/redmi-note-10s-frost-white-64-gb/p/itm2059d1d0cfd67?pid=MOBGAHD8TKZGPYJW&lid=LSTMOBGAHD8TKZGPYJWDRWTJG&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_22&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGAHD8TKZGPYJW.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
22,"realme 9 Pro 5G (Aurora Green, 128 GB)","₹17,999",4.3,"33,664 Ratings & 3,314 Reviews",https://www.flipkart.com/realme-9-pro-5g-aurora-green-128-gb/p/itmce357e4a0ca24?pid=MOBGB4ZYUBUYWPT4&lid=LSTMOBGB4ZYUBUYWPT4XLPNUS&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_23&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGB4ZYUBUYWPT4.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
23,"OPPO F19 (Midnight Blue, 128 GB)","₹15,490",4.3,"8,022 Ratings & 617 Reviews",https://www.flipkart.com/oppo-f19-midnight-blue-128-gb/p/itm82f60569dc6db?pid=MOBGFGWNEYV3NZBV&lid=LSTMOBGFGWNEYV3NZBVFZZVNZ&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_24&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=a4acb2f5-5938-4609-bfd4-176a0bb74557.MOBGFGWNEYV3NZBV.SEARCH&ppt=None&ppn=None&ssid=d5wwmk92gw0000001657894302261&qH=9215ad6dc70e1542
